['3047689', '20', '120']
['3047696', '20', '120']
['3047711', '20', '120']
['3047718', '20', '120']
['3047725', '21', '120']
['3047739', '21', '120']
['3047747', '21', '120']
['3047754', '21', '120']
['3047768', '21', '120']
['3047775', '21', '120']
['3047790', '21', '120']
['3047797', '21', '120']
['3047804', '21', '120']
['3047818', '21', '120']
['3047826', '20', '120']
['3047840', '20', '121']
['3047847', '20', '121']
['3047855', '20', '121']
['3047869', '21', '121']
['3047876', '21', '121']
['3047890', '21', '121']
['3047898', '21', '121']
['3047905', '21', '121']
['3047919', '21', '121']
['3047926', '21', '121']
['3047941', '21', '121']
['3047948', '21', '121']
['3047955', '21', '121']
['3047970', '21', '121']
['3047977', '21', '122']
['3047991', '21', '122']
['3047998', '21', '122']
['3048005', '21', '122']
['3048020', '21', '122']
['3048027', '21', '121']
['3048041', '21', '121']
['3048049', '21', '121']
['3048056', '21', '121']
['3048070', '21', '121']
['3048077', '21', '121']
['3048092', '21', '121']
['3048099', '21', '121']
['3048106', '21', '121']
['3048121', '21', '121']
['3048128', '21', '121']
['3048142', '21', '121']
['3048149', '21', '121']
['3048156', '21', '120']
['3048171', '21', '120']
['3048178', '21', '120']
['3048192', '21', '121']
['3048200', '21', '121']
['3048207', '21', '121']
['3048221', '21', '120']
['3048228', '21', '120']
['3048243', '22', '121']
['3048250', '22', '121']
['3048257', '22', '121']
['3048272', '22', '121']
['3048279', '22', '120']
['3048293', '22', '120']
['3048300', '22', '120']
['3048307', '22', '120']
['3048322', '22', '120']
['3048329', '22', '120']
['3048344', '22', '120']
['3048351', '22', '121']
['3048358', '22', '121']
['3048372', '22', '121']
['3048379', '22', '121']
['3048394', '21', '121']
['3048401', '21', '121']
['3048408', '21', '121']
['3048422', '21', '121']
['3048430', '21', '121']
['3048444', '21', '121']
['3048451', '21', '121']
['3048459', '21', '121']
['3048473', '21', '121']
['3048480', '21', '121']
['3048494', '21', '121']
['3048502', '21', '121']
['3048509', '21', '121']
['3048523', '21', '121']
['3048530', '21', '121']
['3048545', '21', '121']
['3048552', '21', '121']
['3048559', '21', '121']
['3048574', '21', '122']
['3048581', '21', '122']
['3048588', '22', '122']
['3048602', '21', '122']
['3048610', '21', '122']
['3048624', '21', '121']
['3048631', '21', '121']
['3048638', '21', '121']
['3048653', '21', '121']
['3048660', '21', '121']
['3048674', '21', '121']
['3048682', '21', '121']
['3048689', '21', '121']
['3048703', '22', '121']
['3048710', '22', '121']
['3048725', '21', '121']
['3048732', '22', '121']
['3048739', '22', '121']
['3048753', '22', '121']
['3048761', '22', '121']
['3048775', '22', '121']
['3048782', '22', '121']
['3048789', '21', '121']
['3048804', '21', '121']
['3048811', '21', '121']
['3048825', '21', '121']
['3048833', '21', '121']
['3048840', '21', '121']
['3048854', '21', '120']
['3048861', '21', '120']
['3048876', '21', '120']
['3048883', '21', '120']
['3048890', '21', '120']
['3048905', '21', '120']
['3048912', '21', '120']
['3048926', '21', '120']
['3048933', '21', '120']
['3048940', '21', '120']
['3048955', '21', '120']
['3048962', '21', '120']
['3048976', '21', '120']
['3048984', '21', '120']
['3048991', '21', '120']
['3049005', '21', '120']
['3049012', '21', '120']
['3049027', '21', '120']
['3049034', '21', '120']
['3049041', '21', '120']
['3049056', '21', '120']
['3049063', '21', '120']
['3049077', '21', '120']
['3049084', '21', '120']
['3049091', '21', '120']
['3049106', '21', '120']
['3049113', '21', '120']
['3049128', '21', '120']
['3049135', '21', '120']
['3049142', '21', '120']
['3049156', '21', '120']
['3049163', '21', '120']
['3049178', '21', '121']
['3049185', '21', '121']
['3049192', '21', '121']
['3049207', '21', '121']
['3049214', '21', '121']
['3049228', '21', '121']
['3049235', '21', '121']
['3049243', '21', '121']
['3049257', '21', '121']
['3049264', '21', '121']
['3049271', '21', '121']
['3049286', '21', '121']
['3049293', '21', '121']
['3049307', '21', '121']
['3049314', '20', '121']
['3049322', '20', '121']
['3049336', '20', '121']
['3049343', '20', '121']
['3049358', '19', '121']
['3049365', '19', '121']
['3049372', '19', '121']
['3049387', '20', '121']
['3049394', '20', '121']
['3049408', '20', '121']
['3049415', '20', '121']
['3049422', '20', '121']
['3049437', '20', '121']
['3049444', '20', '121']
['3049458', '20', '121']
['3049466', '20', '121']
['3049473', '20', '121']
['3049487', '20', '121']
['3049494', '20', '121']
['3049509', '20', '121']
['3049516', '20', '120']
['3049523', '20', '120']
['3049538', '21', '120']
['3049545', '21', '120']
['3049559', '21', '120']
['3049566', '21', '120']
['3049574', '21', '121']
['3049588', '21', '121']
['3049595', '21', '121']
['3049610', '22', '121']
['3049617', '21', '121']
['3049624', '22', '121']
['3049638', '21', '121']
['3049646', '22', '121']
['3049660', '22', '121']
['3049667', '22', '121']
['3049674', '22', '120']
['3049689', '22', '120']
['3049696', '22', '120']
['3049710', '22', '120']
['3049718', '22', '120']
['3049725', '22', '120']
['3049739', '22', '120']
['3049746', '22', '120']
['3049761', '22', '120']
['3049768', '22', '121']
['3049775', '21', '121']
['3049789', '21', '121']
['3049797', '21', '121']
['3049811', '21', '121']
['3049818', '21', '121']
['3049825', '21', '121']
['3049840', '21', '121']
['3049847', '21', '121']
['3049854', '21', '121']
['3049869', '21', '121']
['3049876', '21', '121']
['3049890', '21', '121']
['3049897', '21', '121']
['3049904', '21', '121']
['3049919', '21', '121']
['3049926', '21', '121']
['3049941', '21', '121']
['3049948', '21', '121']
['3049955', '21', '121']
['3049969', '21', '121']
['3049976', '21', '121']
['3049991', '22', '121']
['3049998', '22', '121']
['3050005', '22', '121']
['3050020', '21', '121']
['3050027', '21', '121']
['3050041', '21', '121']
['3050048', '21', '121']
['3050056', '21', '121']
['3050070', '21', '121']
['3050077', '21', '121']
['3050092', '21', '121']
['3050099', '21', '121']
['3050106', '21', '121']
['3050120', '21', '121']
['3050127', '21', '121']
['3050142', '21', '121']
['3050149', '21', '121']
['3050156', '21', '121']
['3050171', '21', '121']
['3050178', '21', '121']
['3050192', '21', '121']
['3050199', '22', '121']
['3050207', '22', '121']
['3050221', '22', '121']
['3050228', '22', '121']
['3050243', '22', '121']
['3050250', '22', '121']
['3050257', '22', '121']
['3050271', '22', '122']
['3050279', '22', '122']
['3050293', '22', '122']
['3050300', '22', '121']
['3050307', '22', '121']
['3050322', '22', '121']
['3050329', '22', '121']
['3050343', '21', '121']
['3050350', '21', '121']
['3050358', '21', '121']
['3050372', '21', '121']
['3050379', '21', '121']
['3050394', '21', '121']
['3050401', '21', '121']
['3050408', '21', '121']
['3050422', '21', '121']
['3050430', '21', '121']
['3050444', '21', '121']
['3050451', '21', '121']
['3050458', '21', '121']
['3050473', '21', '121']
['3050480', '21', '121']
['3050494', '21', '121']
['3050502', '21', '121']
['3050509', '21', '121']
['3050523', '21', '121']
['3050530', '21', '121']
['3050538', '21', '121']
['3050552', '21', '121']
['3050559', '21', '121']
['3050573', '21', '121']
['3050581', '21', '121']
['3050588', '21', '121']
['3050602', '21', '121']
['3050609', '21', '120']
['3050624', '21', '120']
['3050631', '21', '120']
['3050638', '21', '120']
['3050653', '20', '120']
['3050660', '20', '120']
['3050674', '20', '120']
['3050681', '20', '120']
['3050689', '20', '120']
['3050703', '20', '120']
['3050710', '20', '120']
['3050724', '20', '120']
['3050732', '20', '120']
['3050739', '20', '120']
['3050753', '20', '120']
['3050761', '20', '120']
['3050775', '20', '120']
['3050782', '20', '120']
['3050789', '20', '120']
['3050804', '20', '120']
['3050811', '20', '120']
['3050825', '20', '120']
['3050832', '20', '120']
['3050840', '20', '120']
['3050854', '20', '120']
['3050861', '20', '120']
['3050876', '20', '120']
['3050883', '20', '120']
['3050890', '20', '120']
['3050904', '20', '120']
['3050912', '20', '120']
['3050926', '20', '120']
['3050933', '20', '121']
['3050940', '20', '121']
['3050955', '20', '121']
['3050962', '20', '121']
['3050976', '20', '121']
['3050984', '20', '121']
['3050991', '20', '121']
['3051005', '20', '121']
['3051012', '20', '121']
['3051027', '20', '121']
['3051034', '20', '121']
['3051041', '20', '121']
['3051055', '19', '121']
['3051063', '20', '121']
['3051077', '20', '121']
['3051084', '20', '121']
['3051091', '20', '121']
['3051106', '20', '121']
['3051113', '20', '121']
['3051127', '20', '121']
['3051135', '20', '121']
['3051142', '20', '121']
['3051156', '20', '121']
['3051163', '20', '121']
['3051178', '20', '121']
['3051185', '20', '121']
['3051192', '20', '121']
['3051207', '20', '121']
['3051214', '20', '121']
['3051221', '20', '121']
['3051235', '20', '121']
['3051242', '20', '121']
['3051257', '20', '120']
['3051264', '20', '120']
['3051271', '20', '120']
['3051286', '20', '120']
['3051293', '20', '120']
['3051307', '20', '120']
['3051315', '20', '120']
['3051322', '20', '120']
['3051336', '20', '120']
['3051343', '20', '120']
['3051358', '20', '120']
['3051365', '21', '120']
['3051372', '21', '120']
['3051386', '21', '120']
['3051394', '20', '120']
['3051408', '20', '120']
['3051415', '20', '120']
['3051422', '20', '120']
['3051437', '20', '120']
