Time:1662106363.0830374; +MPOS:74518697,-17,125,0,0,0
Time:1662106363.0902026; +MPOS:74518704,-17,125,0,0,0
Time:1662106363.097258; +MPOS:74518711,-18,125,0,0,0
Time:1662106363.109214; +MPOS:74518723,-18,125,0,0,0
Time:1662106363.1164439; +MPOS:74518730,-18,126,0,0,0
Time:1662106363.123576; +MPOS:74518737,-18,126,0,0,0
Time:1662106363.1307318; +MPOS:74518744,-18,126,0,0,0
Time:1662106363.142738; +MPOS:74518756,-18,126,0,0,0
Time:1662106363.1498885; +MPOS:74518764,-18,126,0,0,0
Time:1662106363.1570282; +MPOS:74518771,-18,126,0,0,0
Time:1662106363.164194; +MPOS:74518778,-18,126,0,0,0
Time:1662106363.176367; +MPOS:74518790,-18,126,0,0,0
Time:1662106363.1834068; +MPOS:74518797,-18,126,0,0,0
Time:1662106363.190507; +MPOS:74518805,-18,126,0,0,0
Time:1662106363.1976354; +MPOS:74518812,-18,125,0,0,0
Time:1662106363.2095895; +MPOS:74518824,-18,125,0,0,0
Time:1662106363.2168458; +MPOS:74518831,-18,125,0,0,0
Time:1662106363.2240114; +MPOS:74518838,-18,125,0,0,0
Time:1662106363.2310953; +MPOS:74518845,-18,125,0,0,0
Time:1662106363.2430594; +MPOS:74518857,-18,125,0,0,0
Time:1662106363.2502737; +MPOS:74518865,-18,125,0,0,0
Time:1662106363.2574031; +MPOS:74518872,-18,126,0,0,0
Time:1662106363.2645447; +MPOS:74518879,-18,126,0,0,0
Time:1662106363.2765114; +MPOS:74518891,-18,126,0,0,0
Time:1662106363.2837217; +MPOS:74518898,-18,126,0,0,0
Time:1662106363.290898; +MPOS:74518905,-18,126,0,0,0
Time:1662106363.2980425; +MPOS:74518913,-18,126,0,0,0
Time:1662106363.3099597; +MPOS:74518925,-18,126,0,0,0
Time:1662106363.3172176; +MPOS:74518932,-18,126,0,0,0
Time:1662106363.3243728; +MPOS:74518939,-18,125,0,0,0
Time:1662106363.331485; +MPOS:74518946,-18,125,0,0,0
Time:1662106363.343432; +MPOS:74518958,-18,125,0,0,0
Time:1662106363.350644; +MPOS:74518965,-18,125,0,0,0
Time:1662106363.357828; +MPOS:74518973,-18,125,0,0,0
Time:1662106363.3649192; +MPOS:74518980,-18,125,0,0,0
Time:1662106363.3768687; +MPOS:74518992,-18,125,0,0,0
Time:1662106363.3840911; +MPOS:74518999,-18,125,0,0,0
Time:1662106363.3912318; +MPOS:74519006,-18,125,0,0,0
Time:1662106363.398412; +MPOS:74519013,-18,125,0,0,0
Time:1662106363.410341; +MPOS:74519025,-18,126,0,0,0
Time:1662106363.4175806; +MPOS:74519033,-18,126,0,0,0
Time:1662106363.4247336; +MPOS:74519040,-18,126,0,0,0
Time:1662106363.4319003; +MPOS:74519047,-18,126,0,0,0
Time:1662106363.443819; +MPOS:74519059,-18,125,0,0,0
Time:1662106363.451042; +MPOS:74519066,-18,125,0,0,0
Time:1662106363.4582417; +MPOS:74519073,-18,125,0,0,0
Time:1662106363.4653108; +MPOS:74519081,-18,125,0,0,0
Time:1662106363.4773169; +MPOS:74519093,-18,125,0,0,0
Time:1662106363.4845147; +MPOS:74519100,-18,125,0,0,0
Time:1662106363.491638; +MPOS:74519107,-18,125,0,0,0
Time:1662106363.4987717; +MPOS:74519114,-18,125,0,0,0
Time:1662106363.5107434; +MPOS:74519126,-18,125,0,0,0
Time:1662106363.5180037; +MPOS:74519134,-18,125,0,0,0
Time:1662106363.5251067; +MPOS:74519141,-18,125,0,0,0
Time:1662106363.5322695; +MPOS:74519148,-18,126,0,0,0
Time:1662106363.544227; +MPOS:74519160,-18,126,0,0,0
Time:1662106363.5514178; +MPOS:74519167,-18,126,0,0,0
Time:1662106363.55861; +MPOS:74519174,-18,125,0,0,0
Time:1662106363.5656989; +MPOS:74519182,-18,125,0,0,0
Time:1662106363.5776598; +MPOS:74519194,-18,125,0,0,0
Time:1662106363.5848825; +MPOS:74519201,-18,125,0,0,0
Time:1662106363.5920136; +MPOS:74519208,-18,126,0,0,0
Time:1662106363.5991538; +MPOS:74519215,-18,126,0,0,0
Time:1662106363.6111195; +MPOS:74519227,-18,126,0,0,0
Time:1662106363.6183696; +MPOS:74519234,-18,126,0,0,0
Time:1662106363.6254878; +MPOS:74519242,-18,126,0,0,0
Time:1662106363.63265; +MPOS:74519249,-18,126,0,0,0
Time:1662106363.6445875; +MPOS:74519261,-18,125,0,0,0
Time:1662106363.6518064; +MPOS:74519268,-18,125,0,0,0
Time:1662106363.6589456; +MPOS:74519275,-18,126,0,0,0
Time:1662106363.6660862; +MPOS:74519282,-18,126,0,0,0
Time:1662106363.678047; +MPOS:74519294,-18,126,0,0,0
Time:1662106363.6852708; +MPOS:74519302,-18,126,0,0,0
Time:1662106363.6923912; +MPOS:74519309,-18,126,0,0,0
Time:1662106363.6995525; +MPOS:74519316,-18,125,0,0,0
Time:1662106363.7115126; +MPOS:74519328,-18,125,0,0,0
Time:1662106363.7187858; +MPOS:74519335,-17,125,0,0,0
Time:1662106363.7258701; +MPOS:74519342,-17,125,0,0,0
Time:1662106363.7330317; +MPOS:74519350,-18,125,0,0,0
Time:1662106363.7449517; +MPOS:74519362,-18,126,0,0,0
Time:1662106363.7521787; +MPOS:74519369,-18,126,0,0,0
Time:1662106363.7593353; +MPOS:74519376,-17,125,0,0,0
Time:1662106363.7664745; +MPOS:74519383,-17,125,0,0,0
Time:1662106363.778464; +MPOS:74519395,-18,125,0,0,0
Time:1662106363.7856638; +MPOS:74519402,-18,125,0,0,0
Time:1662106363.7928104; +MPOS:74519410,-18,125,0,0,0
Time:1662106363.8008375; +MPOS:74519417,-18,125,0,0,0
Time:1662106363.8128045; +MPOS:74519429,-18,125,0,0,0
Time:1662106363.8200395; +MPOS:74519436,-18,125,0,0,0
Time:1662106363.8274841; +MPOS:74519443,-18,125,0,0,0
Time:1662106363.8343263; +MPOS:74519450,-18,125,0,0,0
Time:1662106363.8462567; +MPOS:74519462,-18,125,0,0,0
Time:1662106363.853522; +MPOS:74519470,-19,125,0,0,0
Time:1662106363.8606374; +MPOS:74519477,-19,125,0,0,0
Time:1662106363.8678548; +MPOS:74519484,-19,126,0,0,0
Time:1662106363.8797278; +MPOS:74519496,-19,126,0,0,0
Time:1662106363.8869627; +MPOS:74519503,-19,126,0,0,0
Time:1662106363.8941302; +MPOS:74519510,-19,126,0,0,0
Time:1662106363.9010644; +MPOS:74519518,-19,126,0,0,0
Time:1662106363.913023; +MPOS:74519530,-19,126,0,0,0
Time:1662106363.920215; +MPOS:74519537,-19,126,0,0,0
Time:1662106363.9275804; +MPOS:74519544,-19,126,0,0,0
Time:1662106363.9345007; +MPOS:74519551,-19,126,0,0,0
Time:1662106363.9464622; +MPOS:74519563,-19,126,0,0,0
Time:1662106363.9536824; +MPOS:74519571,-19,126,0,0,0
Time:1662106363.960811; +MPOS:74519578,-20,126,0,0,0
Time:1662106363.9680638; +MPOS:74519585,-20,126,0,0,0
Time:1662106363.979912; +MPOS:74519597,-20,126,0,0,0
Time:1662106363.9871454; +MPOS:74519604,-20,126,0,0,0
Time:1662106363.9942904; +MPOS:74519611,-20,126,0,0,0
Time:1662106364.0014253; +MPOS:74519618,-20,126,0,0,0
Time:1662106364.0133936; +MPOS:74519630,-20,126,0,0,0
Time:1662106364.020599; +MPOS:74519638,-20,126,0,0,0
Time:1662106364.0280638; +MPOS:74519645,-19,126,0,0,0
Time:1662106364.034888; +MPOS:74519652,-19,126,0,0,0
Time:1662106364.0468283; +MPOS:74519664,-20,126,0,0,0
Time:1662106364.0540485; +MPOS:74519671,-20,126,0,0,0
Time:1662106364.0611908; +MPOS:74519679,-20,126,0,0,0
Time:1662106364.0686135; +MPOS:74519686,-20,126,0,0,0
Time:1662106364.0804656; +MPOS:74519698,-20,126,0,0,0
Time:1662106364.0877771; +MPOS:74519705,-20,126,0,0,0
Time:1662106364.0947163; +MPOS:74519712,-20,126,0,0,0
Time:1662106364.101629; +MPOS:74519719,-20,127,0,0,0
Time:1662106364.1135843; +MPOS:74519731,-20,127,0,0,0
Time:1662106364.1208527; +MPOS:74519739,-20,127,0,0,0
Time:1662106364.1281943; +MPOS:74519746,-20,126,0,0,0
Time:1662106364.1350927; +MPOS:74519753,-20,126,0,0,0
Time:1662106364.1470513; +MPOS:74519765,-20,126,0,0,0
Time:1662106364.154262; +MPOS:74519772,-20,126,0,0,0
Time:1662106364.161408; +MPOS:74519779,-19,126,0,0,0
Time:1662106364.1685832; +MPOS:74519787,-19,126,0,0,0
Time:1662106364.1805942; +MPOS:74519799,-19,126,0,0,0
Time:1662106364.1878278; +MPOS:74519806,-19,126,0,0,0
Time:1662106364.1949544; +MPOS:74519813,-19,126,0,0,0
Time:1662106364.2023826; +MPOS:74519820,-19,126,0,0,0
Time:1662106364.2141674; +MPOS:74519832,-19,126,0,0,0
Time:1662106364.221388; +MPOS:74519839,-19,125,0,0,0
Time:1662106364.228809; +MPOS:74519847,-19,126,0,0,0
Time:1662106364.2356436; +MPOS:74519854,-19,126,0,0,0
Time:1662106364.2475817; +MPOS:74519866,-19,126,0,0,0
Time:1662106364.254839; +MPOS:74519873,-19,126,0,0,0
Time:1662106364.261955; +MPOS:74519880,-19,126,0,0,0
Time:1662106364.2692385; +MPOS:74519887,-19,126,0,0,0
Time:1662106364.2810628; +MPOS:74519899,-19,126,0,0,0
Time:1662106364.288321; +MPOS:74519907,-20,126,0,0,0
Time:1662106364.295489; +MPOS:74519914,-20,126,0,0,0
Time:1662106364.3024023; +MPOS:74519921,-20,126,0,0,0
Time:1662106364.314382; +MPOS:74519933,-19,126,0,0,0
Time:1662106364.321566; +MPOS:74519940,-19,126,0,0,0
Time:1662106364.3289673; +MPOS:74519947,-19,126,0,0,0
Time:1662106364.3359222; +MPOS:74519955,-19,126,0,0,0
Time:1662106364.34783; +MPOS:74519967,-19,126,0,0,0
Time:1662106364.355031; +MPOS:74519974,-19,126,0,0,0
Time:1662106364.3621855; +MPOS:74519981,-19,126,0,0,0
Time:1662106364.3693364; +MPOS:74519988,-19,125,0,0,0
Time:1662106364.3813152; +MPOS:74520000,-19,125,0,0,0
Time:1662106364.3885336; +MPOS:74520007,-19,125,0,0,0
Time:1662106364.3957028; +MPOS:74520015,-19,125,0,0,0
Time:1662106364.4029527; +MPOS:74520022,-19,125,0,0,0
Time:1662106364.4148984; +MPOS:74520034,-19,125,0,0,0
Time:1662106364.4221334; +MPOS:74520041,-19,125,0,0,0
Time:1662106364.4295366; +MPOS:74520048,-19,125,0,0,0
Time:1662106364.4364235; +MPOS:74520055,-18,125,0,0,0
Time:1662106364.4484606; +MPOS:74520067,-18,125,0,0,0
Time:1662106364.4555948; +MPOS:74520075,-18,125,0,0,0
Time:1662106364.4627228; +MPOS:74520082,-18,125,0,0,0
Time:1662106364.4698808; +MPOS:74520089,-18,125,0,0,0
Time:1662106364.4818695; +MPOS:74520101,-18,124,0,0,0
Time:1662106364.4891713; +MPOS:74520108,-18,124,0,0,0
Time:1662106364.4962893; +MPOS:74520115,-18,124,0,0,0
Time:1662106364.5031757; +MPOS:74520123,-18,124,0,0,0
Time:1662106364.515123; +MPOS:74520135,-18,124,0,0,0
Time:1662106364.5223677; +MPOS:74520142,-18,124,0,0,0
Time:1662106364.5296948; +MPOS:74520149,-18,124,0,0,0
Time:1662106364.5366333; +MPOS:74520156,-17,124,0,0,0
